,dataset_type,recall,precision,auroc,auprc,iteration,model_type,resampler_type,group,f1
2,val,0.25,0.42857142857142855,0.3580840455840456,0.0489744508691354,26,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.390348355073999,0.051285809783114325,26,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.34110787172011664,0.8813848188848189,0.6221769235166785,27,SVM,CondensedNN,SVM_CondensedNN,0.5086956521739131
1,train,0.2146118721461187,0.28484848484848485,0.4732610199307205,0.06966634541592759,27,SVM,CondensedNN,SVM_CondensedNN,0.24479166666666666
2,val,0.2708333333333333,0.43333333333333335,0.41503442545109215,0.0648867597682463,27,SVM,CondensedNN,SVM_CondensedNN,0.33333333333333337
3,test,0.2765957446808511,0.325,0.42982960564147576,0.06187789008606433,27,SVM,CondensedNN,SVM_CondensedNN,0.2988505747126437
0,artificial_train,1.0,0.5416666666666666,0.8054937997134529,0.520960436153171,28,SVM,CondensedNN,SVM_CondensedNN,0.7027027027027027
1,train,0.2146118721461187,0.3051948051948052,0.4190579773679647,0.053773616416719794,28,SVM,CondensedNN,SVM_CondensedNN,0.25201072386058976
2,val,0.25,0.42857142857142855,0.36792200854700857,0.05030365558438059,28,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.40234859719742144,0.052971622358903195,28,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.47950819672131145,0.8317247671180256,0.5471753273708589,29,SVM,CondensedNN,SVM_CondensedNN,0.6481994459833794
1,train,0.2146118721461187,0.30128205128205127,0.4121474269315931,0.052700757606163245,29,SVM,CondensedNN,SVM_CondensedNN,0.25066666666666665
2,val,0.25,0.42857142857142855,0.3551311728395062,0.0486432859746892,29,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.34210526315789475,0.39732453618231894,0.052144832248884485,29,SVM,CondensedNN,SVM_CondensedNN,0.3058823529411765
0,artificial_train,0.29347826086956524,0.9,0.31288819875776397,0.4533258642712687,0,KNN,CondensedNN,KNN_CondensedNN,0.4426229508196721
1,train,0.0593607305936073,0.13131313131313133,0.47453095795774475,0.059558738531569295,0,KNN,CondensedNN,KNN_CondensedNN,0.08176100628930817
2,val,0.08333333333333333,0.21052631578947367,0.4276471984805318,0.057198169578700546,0,KNN,CondensedNN,KNN_CondensedNN,0.11940298507462688
3,test,0.02127659574468085,0.04,0.5014527405344874,0.06436665999688744,0,KNN,CondensedNN,KNN_CondensedNN,0.02777777777777778
0,artificial_train,0.7526881720430108,0.8045977011494253,0.7465591397849463,0.7040132659387214,1,KNN,CondensedNN,KNN_CondensedNN,0.7777777777777778
1,train,0.1050228310502283,0.13450292397660818,0.5297847437647782,0.06708835430669831,1,KNN,CondensedNN,KNN_CondensedNN,0.11794871794871795
2,val,0.020833333333333332,0.03125,0.41755698005698005,0.05685366606781945,1,KNN,CondensedNN,KNN_CondensedNN,0.025
3,test,0.0,0.0,0.4827789715807633,0.06613326624496838,1,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.8045977011494253,0.7383186705767351,0.681201822671347,2,KNN,CondensedNN,KNN_CondensedNN,0.7777777777777778
1,train,0.0958904109589041,0.13548387096774195,0.4472533849937165,0.060598104359300735,2,KNN,CondensedNN,KNN_CondensedNN,0.1122994652406417
2,val,0.020833333333333332,0.03571428571428571,0.3743174264007597,0.0581067541917849,2,KNN,CondensedNN,KNN_CondensedNN,0.026315789473684213
3,test,0.0,0.0,0.40796283405465944,0.061350658354010185,2,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.813953488372093,0.7526881720430108,0.6715894351541087,3,KNN,CondensedNN,KNN_CondensedNN,0.782122905027933
1,train,0.091324200913242,0.13157894736842105,0.44254382851870255,0.06016528636856843,3,KNN,CondensedNN,KNN_CondensedNN,0.1078167115902965
2,val,0.020833333333333332,0.04,0.3660820275403609,0.05812135153111796,3,KNN,CondensedNN,KNN_CondensedNN,0.0273972602739726
3,test,0.0,0.0,0.4027269150449442,0.06116029048763775,3,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.813953488372093,0.765136476426799,0.6648285591002212,4,KNN,CondensedNN,KNN_CondensedNN,0.782122905027933
1,train,0.091324200913242,0.13157894736842105,0.44228496991812555,0.06013233053412969,4,KNN,CondensedNN,KNN_CondensedNN,0.1078167115902965
2,val,0.020833333333333332,0.04,0.3640788224121558,0.05791059929372663,4,KNN,CondensedNN,KNN_CondensedNN,0.0273972602739726
3,test,0.0,0.0,0.4014255016494658,0.06115230510975192,4,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.813953488372093,0.7749615975422428,0.6647386019718968,5,KNN,CondensedNN,KNN_CondensedNN,0.782122905027933
1,train,0.091324200913242,0.13157894736842105,0.44254382851870255,0.06016528636856843,5,KNN,CondensedNN,KNN_CondensedNN,0.1078167115902965
2,val,0.020833333333333332,0.04,0.3660820275403609,0.05812135153111796,5,KNN,CondensedNN,KNN_CondensedNN,0.0273972602739726
3,test,0.0,0.0,0.4027269150449442,0.06116029048763775,5,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.813953488372093,0.7849820788530466,0.6589233015756313,6,KNN,CondensedNN,KNN_CondensedNN,0.782122905027933
1,train,0.091324200913242,0.13157894736842105,0.44228496991812555,0.06013233053412969,6,KNN,CondensedNN,KNN_CondensedNN,0.1078167115902965
2,val,0.020833333333333332,0.04,0.3640788224121558,0.05791059929372663,6,KNN,CondensedNN,KNN_CondensedNN,0.0273972602739726
3,test,0.0,0.0,0.4014255016494658,0.06115230510975192,6,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.813953488372093,0.8002688172043011,0.6686504917061855,7,KNN,CondensedNN,KNN_CondensedNN,0.782122905027933
1,train,0.091324200913242,0.12903225806451613,0.5299802794281174,0.06677529333354479,7,KNN,CondensedNN,KNN_CondensedNN,0.10695187165775401
2,val,0.020833333333333332,0.03571428571428571,0.45533594491927826,0.062001099493817935,7,KNN,CondensedNN,KNN_CondensedNN,0.026315789473684213
3,test,0.0,0.0,0.4772706637208316,0.06627494803467782,7,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7526881720430108,0.813953488372093,0.7612586970271982,0.6023859823074835,8,KNN,CondensedNN,KNN_CondensedNN,0.782122905027933
1,train,0.091324200913242,0.13157894736842105,0.42936291558287026,0.05929262958076991,8,KNN,CondensedNN,KNN_CondensedNN,0.1078167115902965
2,val,0.020833333333333332,0.04,0.34553062678062674,0.05715749964674297,8,KNN,CondensedNN,KNN_CondensedNN,0.0273972602739726
3,test,0.0,0.0,0.3817227081504797,0.06011393508636745,8,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7419354838709677,0.8214285714285714,0.7525388291517324,0.5854778032197387,9,KNN,CondensedNN,KNN_CondensedNN,0.7796610169491526
1,train,0.0730593607305936,0.11764705882352941,0.41948175394794157,0.05862895976357792,9,KNN,CondensedNN,KNN_CondensedNN,0.09014084507042254
2,val,0.0,0.0,0.34627255460588796,0.05606145293366388,9,KNN,CondensedNN,KNN_CondensedNN,0.0
3,test,0.0,0.0,0.37184104597318485,0.0594614891549325,9,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7446808510638298,0.8045977011494253,0.7638185297759766,0.5882460118849434,10,KNN,CondensedNN,KNN_CondensedNN,0.7734806629834253
1,train,0.091324200913242,0.13793103448275862,0.4050622165254773,0.05621475755227578,10,KNN,CondensedNN,KNN_CondensedNN,0.10989010989010989
2,val,0.020833333333333332,0.041666666666666664,0.34394290123456794,0.05536432455352689,10,KNN,CondensedNN,KNN_CondensedNN,0.027777777777777776
3,test,0.0,0.0,0.3658787566962259,0.05811036329425387,10,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7446808510638298,0.813953488372093,0.7673473751737412,0.582531547912913,11,KNN,CondensedNN,KNN_CondensedNN,0.7777777777777778
1,train,0.091324200913242,0.13986013986013987,0.4018341384392496,0.0557798631535714,11,KNN,CondensedNN,KNN_CondensedNN,0.11049723756906077
2,val,0.020833333333333332,0.045454545454545456,0.3424293684710351,0.05552225624626881,11,KNN,CondensedNN,KNN_CondensedNN,0.028571428571428574
3,test,0.0,0.0,0.3633969916164765,0.05809780764394965,11,KNN,CondensedNN,KNN_CondensedNN,0.0
0,artificial_train,0.7157894736842105,0.7906976744186046,0.7516194331983805,0.571254924616758,12,KNN,CondensedNN,KNN_CondensedNN,0.7513812154696132
1,train,0.1415525114155251,0.18902439024390244,0.3222622571634942,0.04897599845462746,12,KNN,CondensedNN,KNN_CondensedNN,0.16187989556135768
2,val,0.0625,0.11538461538461539,0.212636514719848,0.04947732890010581,12,KNN,CondensedNN,KNN_CondensedNN,0.08108108108108109
3,test,0.02127659574468085,0.025,0.2010381041736025,0.05015626089989536,12,KNN,CondensedNN,KNN_CondensedNN,0.02298850574712644
0,artificial_train,0.7216494845360825,0.813953488372093,0.7594740358915616,0.5658142319895885,13,KNN,CondensedNN,KNN_CondensedNN,0.7650273224043715
1,train,0.2237442922374429,0.1828358208955224,0.3307315260549532,0.049374674806767924,13,KNN,CondensedNN,KNN_CondensedNN,0.20123203285420946
2,val,0.10416666666666667,0.13513513513513514,0.24252136752136752,0.04941280951305787,13,KNN,CondensedNN,KNN_CondensedNN,0.11764705882352941
3,test,0.1702127659574468,0.11940298507462686,0.2583002935746497,0.04853890183541049,13,KNN,CondensedNN,KNN_CondensedNN,0.14035087719298248
0,artificial_train,0.74,0.8131868131868132,0.7556726457399103,0.557847198050818,14,KNN,CondensedNN,KNN_CondensedNN,0.774869109947644
1,train,0.4611872146118721,0.28133704735376047,0.40752276494386525,0.05522065253520196,14,KNN,CondensedNN,KNN_CondensedNN,0.3494809688581315
2,val,0.375,0.3,0.3041310541310541,0.051781458207147184,14,KNN,CondensedNN,KNN_CondensedNN,0.33333333333333326
3,test,0.5106382978723404,0.23300970873786409,0.36159619866226805,0.054491312107266224,14,KNN,CondensedNN,KNN_CondensedNN,0.32
0,artificial_train,0.73,0.8111111111111111,0.7509871244635193,0.5469205251763392,15,KNN,CondensedNN,KNN_CondensedNN,0.768421052631579
1,train,0.2694063926940639,0.19865319865319866,0.34593181441786736,0.04990727439061617,15,KNN,CondensedNN,KNN_CondensedNN,0.22868217054263565
2,val,0.125,0.125,0.22011514719848052,0.049476665807867866,15,KNN,CondensedNN,KNN_CondensedNN,0.125
3,test,0.19148936170212766,0.11688311688311688,0.2531097727066372,0.04817435558312185,15,KNN,CondensedNN,KNN_CondensedNN,0.14516129032258066
0,artificial_train,0.7352941176470589,0.8241758241758241,0.7527459116426655,0.5475303989001603,16,KNN,CondensedNN,KNN_CondensedNN,0.7772020725388602
1,train,0.4292237442922374,0.27485380116959063,0.4001487741096864,0.05388373954150316,16,KNN,CondensedNN,KNN_CondensedNN,0.33511586452762926
2,val,0.3958333333333333,0.3064516129032258,0.3097400284900285,0.05270068240998474,16,KNN,CondensedNN,KNN_CondensedNN,0.34545454545454546
3,test,0.48936170212765956,0.23469387755102042,0.33824642111316244,0.05246198932229763,16,KNN,CondensedNN,KNN_CondensedNN,0.31724137931034485
0,artificial_train,0.7184466019417476,0.8222222222222222,0.7353398058252427,0.5194986500271538,17,KNN,CondensedNN,KNN_CondensedNN,0.766839378238342
1,train,0.3835616438356164,0.3514644351464435,0.4155494691311119,0.05574546778910133,17,KNN,CondensedNN,KNN_CondensedNN,0.3668122270742357
2,val,0.3333333333333333,0.4,0.33625652896486236,0.05607038360873472,17,KNN,CondensedNN,KNN_CondensedNN,0.3636363636363636
3,test,0.44680851063829785,0.2876712328767123,0.3622015072183045,0.05404837950876734,17,KNN,CondensedNN,KNN_CondensedNN,0.35000000000000003
0,artificial_train,0.7184466019417476,0.8222222222222222,0.7414115011202391,0.5177817644575771,18,KNN,CondensedNN,KNN_CondensedNN,0.766839378238342
1,train,0.3835616438356164,0.3514644351464435,0.4159231440464609,0.055760475155373274,18,KNN,CondensedNN,KNN_CondensedNN,0.3668122270742357
2,val,0.3333333333333333,0.4,0.33625652896486236,0.05607038360873472,18,KNN,CondensedNN,KNN_CondensedNN,0.3636363636363636
3,test,0.44680851063829785,0.2876712328767123,0.3622015072183045,0.05404837950876734,18,KNN,CondensedNN,KNN_CondensedNN,0.35000000000000003
